description,category
There is garbage dumped in the side of the road.It is full of dry leaves and other waste.,Waste/Garbage
Stop water leakage,Water
Waterlogging of roads,Water
"Thank
   ",Waste/Garbage
This post is slanted towards the tree.,Streetlights
There is garbage dumped in the centre of the road and the road is broken.,Waste/Garbage
Rain water is flooding and blocking the path it is hard to go through them while riding,Water
The roads are dug from time to time and they are not repaired.No roadrollers are seen and driving has become an issue. The road is so big and half of it is covered with vehicles parked!please solve !!,Potholes
People are parking a lot on the road.it obstructs the pathway for people to walk.peole should be fined upon this issue,Traffic/Parking
Garbage in the apartment is not being collected and is causing a lot of disgusting smell,Waste/Garbage
No dustbin and maintenance,Waste/Garbage
Rjw,Waste/Garbage
"In my community the garbage is dumped  
And sometimes cows eat them 
It is harmful to their health",Waste/Garbage
Sewage water leaks in one of the broken pipes,Sewage
There is garbage dumped in the street,Waste/Garbage
"Sewage from a chicken shop has been regularly going on today 2nd Street, thiruvenkatapuram, choolaimedu in convincing or reduces, but it is concerned do not seem to be bother",Water
"The mini truck has been forgotten 1st main road, HB colony, velachery, for a long time, causing traffic snarls and travelling road uses repeated complaints to authority have been in vain",Traffic/Parking
"This is a legal grocery shop operate city impunity on footpath along 4th main road, gandhinagar,  near the gandhinagar club",Traffic/Parking
The government does not clear this garbage on the road. So we cleaned it up but again like this. The road after complaint 20 times at it is not made leveled.,Waste/Garbage
Garbage dumping problem,Waste/Garbage
Garbage dumping,Waste/Garbage
Dustbin not cleared,Waste/Garbage
Garbage pollution,Waste/Garbage
Garbage pollution,Waste/Garbage
Waste ,Waste/Garbage
The manholes in thyagaraya gramani street is not been repaired for the past 2 months and now the drainage has been covered by a wooden stuff,Potholes
Garbage in open drain.Sends bad odour and the animals eat plastic from there,Waste/Garbage
There is water leakage in the tank and some tanks come here and pour the waste water.,Water
There is garbage dumped in the park where the plant  grows.,Waste/Garbage
This garbage piling out side with trees creates the citizens unable to travel on this road.,Waste/Garbage
This creates more  conjugated or disturbs the people living near it.,Waste/Garbage
Please follow the rules and be a right citizen,Traffic/Parking
The dustbin is overflowing and garbage is thrown outside the bin. This bin is located near a temple. It is emitting a foul smell and causing inconvenience to the people.,Waste/Garbage
After cleaning the garage  They throw again,Waste/Garbage
After cleaning the garbage they throw again,Waste/Garbage
Please do not harm our earth please,Air
There are water clogging in our area when rain is heavy.,Water
Children are parking there cycle in wrong places (in our parking place),Traffic/Parking
"There is a big pothole in my road
No one  is  caring about this 
Many small accidents are also occurring 
People children are slipping and falling down",Potholes
"There is a big pothole in my road
No one  is  caring about this 
Many small accidents are also occurring 
People children are slipping and falling down .",Potholes
The dustbin in this place is overflowing even though there 3 dustbins,Waste/Garbage
"A big box of wire is kept made of iron
Many accidents are also happening. I have not seen any accidents happen.  But have herd the milk man telling to my father . It is really heavy no one can lift i",Potholes
Garbage produced after construction of a house is being dumped in the basement. It troubles people as it is now occupying the place allotted for car parking. Now there is less place for people to walk,Waste/Garbage
Garbage produced by construction of house is being dumped in the basement. It troubles people as it is occupying the place allotted to car parking.,Waste/Garbage
Clear the road side dustbin,Waste/Garbage
Please stop the leakage of water.,Water
POP ganesha idols were found in in large numbers in a lake. It will pollute the water and can kill the animals living underwater.,Water
This smells a lot and many of the people keep on complain about it and thr bbmp does not take any action,Waste/Garbage
"The no parking board on GP road royapettah, before the MTC bus stop at Express avenue Mall, is mere ornament",Traffic/Parking
"Horses Roma Cross 4th cross street, sabari nagar, porur, scaring children and elder  .will someone look into this",Streetlights
"The house old garbage is dumped in a road a foul smell comes.  plastic bags ,wine bottles all are dumped here.",Waste/Garbage
"The mountain of garbage, rising by the day has eaten up part of kandaswamy salai, periyar nagar, kolathur",Waste/Garbage
This dug a pit as part of an incomplete project on the structure of Nelson manickam road in aminjakarai is a threat to pedestrian,Potholes
"This car  has remained on BC GN chetty road, t nagar, for a very long time will the order this drive this away",Traffic/Parking
We see automatic taps in almost all malls and hotels. This at first might seem cool. But have we ever wondered how much water is wasted by these? The water stops only after a few seconds and comes i  ,Water
The waste was put outside the garbage.,Waste/Garbage
The waste was put out side the garbage. In this I should take a step.,Waste/Garbage
The waste was put outside the garbage.,Waste/Garbage
The waste was put outside the garbage.,Waste/Garbage
The waste was put outside the garbage .,Waste/Garbage
The waste was put outside the garbage.,Waste/Garbage
"The lakes of bangalore are polluted due to grabage , parthenium etc",Waste/Garbage
Garbage dumped on vacant lands,Waste/Garbage
"This pipe was out of the ground which is very dangerous and can cross tripping, falling and deaths",Streetlights
Garbage dumped on vacant land. Animals eat this garbage and die,Waste/Garbage
"The roads are made of a terrible quality. When it rains the water fills up, puddles are formed, and the roads are damp. It is very tough to walk then.",Water
The roads are of horrible quality. Making dents which fill up with water causing trouble.,Water
"Eventhough there is a government order to place rain water harvesting system in every home in Tamil Nadu,these orders are not strictly implemented.There is no check by the officials about this in home",Water
Clean the road,Water
Wrong parking of cars and auto is causing menace in my street.Our area members have warned them several times but they are not bothering.,Traffic/Parking
"If you see any manholes in your area, kindly write a complaint about it.",Potholes
The garbage bin is full and the garbage overflows outside.This garbage and bin together captures half of the road and there is traffic problem due to this.It's ingy.Animals eat the overflowing garbage,Waste/Garbage
Nandanam there is  lot of traffic so the government have to clear this.,Traffic/Parking
Garbage has been dumped in a vacant land . This problem also occurs in other places. But this happened on Monday after the celebrations of Ganesh chaturthi. People must learn to segregate garbage.,Waste/Garbage
"The waste dumped near food stall serves as breeding ground for mosquito, which in turn leads to unhygienic environment.",Waste/Garbage
Nowadays people's are suffering from water so please help us by telling this,Water
These electrical wire lying near the footpath may prove to be really dangerous when someone unknowingly step on them or touch them.,Streetlights
Sewage from a chicken shop has been regularly leaking on to the street. It causes inconvenience to the people using that road. But the authorities concerned do not seem to be bothered.,Water
"Water blockage in the small water passage near footpath may lead to growth of mosquitos, which ultimately cause severe diseases and health issues.",Water
Nowadays people's are dying because they don't have water to drink so that please help us,Water
Nowadays people's are dying because they don't have water to drink so that please help us,Water
Nowadays water is also not there so that many peoples are suffering from water to drink and bath,Water
Nowadays water is also not there so that many people's are suffering from water to drink and bath,Water
The road was relaid only a month ago and it is already cracking because it was not laid properly. ,Potholes
Nowadays water problems is affecting people's and gives many suffers so that many people's are going some other country.,Water
Stop dumping garbage in empty space,Waste/Garbage
Nowadays then and then peoples are dying because of water problem so that please help us,Water
Nowadays the problem is that people's are wasting water so I requested to put some help in us,Water
You can see the uploaded image in that people's wasting water like these so I requested not to waste water,Water
People's are wasting lots of water per day so that stop water waste.,Water
See the upload image the boy was stopping the water leakage  so that water will not reduce,Water
Step by step  the water is leakage out so per day it carries lots of water so that we must save water,Water
Save water before it's too late so help us by saying this,Water
"People dont follow rules even when the government acts. The government should take serious acts on them, like making them pay fine. Chennai is one of the most accident city.",Traffic/Parking
Nowadays people's are dying because of the water problems so they don't have to drink and bath,Water
People's are wasting water for one day people's are wasting lots of water so that we could not drink,Water
The air we breathe we would be struggling while breathing so some people will die,Air
Air pollution is affecting people's many lives suffer and many other diseases so reduce pollution,Air
Air pollution causes like cancer and many diseases so reduce air pollution,Air
The force of the air pollution smoke contains lots of diseases like cancer and etc. So I requested to stop air pollution,Air
Many people's were suffering from water because the water supply tank pipes  were broken so that water is leaking.,Water
People's were suffering from water because the water supply tank pipes were broken down so that the water is leaking,Water
People's were suffering from water because the water supply tank pipes were broken down and so the water is leaking out stop water leakage,Water
Many people's are wasting water on the roadside and many other areas so that some people's are not getting water and they suffer,Water
Nowadays people's are wasting water and sufferings from water so that please help us,Water
Nowadays people's are dying because they don't have water to drink and bath so please help them by getting out.,Water
Nowadays even the toilet also leaking out so that many people are not able to go properly,Water
Nowadays people's are dying because of the water not able to drink and bath so much of the water supply tank pipes were broken down.,Water
People's were suffering from water because the water supply tank pipes were broken down and they didn't have to drink water,Water
Nowadays people's are wasting water and suffering from the water supply tank pipes were broken down,Water
People's were suffering from water because they don't have to drink and bath so please help us,Water
"Nowadays 
People's were suffering from water because they  have to drink and h so please help us",Water
People's were suffering from water because they don't have to drink and bath so please help us and supply water here,Water
At night no body is able to walk .Last week a man fell into aput and had a fracture,Streetlights
The land is full of garbage,Waste/Garbage
Water is logging in this place,Water
"In my apartment swimming pool water is contaminated with pigeon feathers etc. We have 2 cleaners but they don't care about this . If we go and tell them,they say now no one swims why to clean.",Water
This land is filled with garbage always,Waste/Garbage
They are parking  on the wrong side of the road  and not allowing people to walk freely,Traffic/Parking
Parking on both sides. Creates trouble for residents to walk and go by car.,Traffic/Parking
Festival garbage,Waste/Garbage
Garbage dumping on road side,Waste/Garbage
Lack of maintenance problem,Waste/Garbage
Muqd Bowden iwdn nowdon,Waste/Garbage
This happens in my school when it rains ☔. The drainage system is not proper and the water collects in my surroundings ( the basketball court). This leads to breeding of mosquitoes and is a big issue.,Water
தி  ஏரியா  ஐஸ்  பிலால் ஒப்பி கர்பஜ்,Waste/Garbage
"People du
mp garbage at the end of the street which is not properly done .while going by that way it is stinking.it could be harmful to the people around here",Waste/Garbage
This area is benn filled with gatbage for the past few months,Waste/Garbage
All waste dust is thrown on the sides,Waste/Garbage
Dust near my house,Waste/Garbage
Even for small rains there is waterlogging,Water
"Reporting again the complaint raised earlier on August 11th. Reference, complaint number: 10309, janagraha I'd: 652327",Waste/Garbage
Water leaking in a tap in my aprtment,Water
Horrible muddy puddle roads,Water
Over flooding of drainage causes breeding of mosquito.,Sewage
"Water logging in my street is a regular thing due to unevenly laid roads for the past 5 years. Moreover due to the water stagnation, I was affected by dengue and went to extent of being hospitalized.",Water
"Near many roads there are many wires dangling.
We need to stop that otherwise there can be serious casualties",Streetlights
Messy surrounding,Waste/Garbage
This broken sewage cap as been not replaced,Sewage
This broken sewage cap is not replaced,Sewage
"These pipes have been lying around for nearly 4 months 
and
 the authorities have not responded.",Potholes
There is so many garbage throwing from people,Waste/Garbage
Garbage throwing from people,Waste/Garbage
"The tiles,gravels,bricks and unwanted bags are been kept at the entry of the street which disturbs the people coming in cars and water trucks to enter the street",Waste/Garbage
"In our area people have dumped garbage near a shop. 
So, please take action to clean it.",Waste/Garbage
I visited to my friend’s house I saw this garbage lying  near their house . There was cats and dogs roaming over hear . They will eat these. Kindly take actions .,Waste/Garbage
There was garbage dump and they have thrown wood logs over hear. Dogs are roaming over here . They may eat it and they may get diseases.Kindly take actions over it.,Waste/Garbage
People ride on the wrong side of the road or pavements or footpaths causing lots of issues for pedestrians. They also often park on the footpaths.,Traffic/Parking
Here people walk and a lots of waste is put near road....,Waste/Garbage
The monkeys open mesh and enter the house. We have tried bursting crackers but the monkeys are still staying . The apartment still didn't take any action further.,Streetlights
People throw waste near trees and makes the sorroundings dirty,Waste/Garbage
That was open site some people do the  toilet,Waste/Garbage
They are parking on the wrong side of road,Traffic/Parking
The smoke from cars cause a lot of air pollution. Air pollution is bad for health and the environment. ,Air
The smoke from cars cause a lot of air pollution which is bad for health and the environment.,Air
The garbage in the above picture hasn't properly been maintained.If the authority keeps some billboard educating people about sanitation which will make sure that people don't throw garbage down.,Waste/Garbage
This type of open collection vehicles cause spilling of garbage and stench. This affects many people and must be rectified.,Waste/Garbage
Sparkles of electric light is comming,Streetlights
"Even though our government has increased the road fines up to the standards of many developed countries , are the condition of the roads up to the standard ??",Potholes
Wasting water,Water
Electric and data cables lying on the footpath which trouble pedestrians walking in the area.,Streetlights
Road traffic accidents—the leading cause of death by injury and the tenth-leading cause of all deaths globally—now make up a surprisingly significant portion of the worldwide burden of ill-health.,Air
They don't using public toilets,Waste/Garbage
They are not using public toilets,Waste/Garbage
This problem is regarding the wall that has broken in our corporation group (gopalapuram).The government has not taken any initiative yet.This can result in students getting missed.,Potholes
"Bad
",Potholes
I am not able to type the complaint.  People are plucking flowers in my sit out.  My,Waste/Garbage
This is regarding the water scarsity in Chennai. People are facing acute shortage of water. Many people tell this is because of lack of rains. But we should overcome this crisis by dams.,Water
Service it,Water
Danger in nights,Potholes
Flower venders still use big fat plastic bags which spoil the world,Waste/Garbage
A pile of garbage is dumped in a land.  It has been 2 to 3 months since it is there.,Waste/Garbage
Light ,Streetlights
"People dump unneeded or unused building 
material after constructing buildings and don't bother cleaning it up even after use .",Waste/Garbage
Not having place to go,Waste/Garbage
The waste was put outside the garbage.,Waste/Garbage
"Garbage overlooked.
Not cleared for past a week",Waste/Garbage
The waste was put outside the garbage.,Waste/Garbage
It is very difficult to ride vehicles in the road,Potholes
Garbage dumped on the main( hunters road ) and lurks for days .....but the   workers clear only the dump available inside the dustbin beside and knowingly leave the garbage flowing on the road,Waste/Garbage
Garbage and construction waste on the main road of choolai ( hunters road ),Waste/Garbage
"The city received nearly 15 CM of rain in last 2 months, but mangal area Park at mogappair remains dry level is higher than that of the road",Waste/Garbage
Abandoned vehicles and garbage take more than half of the parking space at marundeeswar  Temple at thiruvanmiyur,Traffic/Parking
"So many garbage bins at one spot on 1st Street, z block, shanthi colony Anna nagar troubled residence apart from creating a mess",Waste/Garbage
"Water stagnation has been a problem on 4th main road, nithya Nanda nagar, arumbuliyur, West tambaram, for a long time",Water
Pothole ifn field MTC deport road in chrompet linking Radha nagar is hell for motorist will the municipality authorities do the needful,Water
Clearing dustbin,Waste/Garbage
Dumping garbage,Waste/Garbage
There is garbage dumped in the road and the road is broken.,Waste/Garbage
Street light,Streetlights
There is garbage dumped in the road and the road is completely broken,Waste/Garbage
Wrong parking in the neighborhood,Traffic/Parking
There is garbage bin but  there is place to put garbage,Waste/Garbage
"Garbage dumped on the roadside in Vijaraghava  Road, T. Nagar.",Waste/Garbage
There is garbage dumped in the land and the place is so dirty.,Waste/Garbage
There is garbage dumped in the side of the road and the road is broken.,Waste/Garbage
"This poor cow had been sitting in the middle of a garbage dump for hours, forced to eat the old food or biodegradables, which were contained inside plastic covers.",Waste/Garbage
This pothole is there for the past 4 months and has not been closed...,Potholes
Sewage water in the road for 1 week.... In this picture only small amount is seen... But it is for quite a long stretch..,Sewage
Garbage on land for 2 weeks,Waste/Garbage
Sewage water and garbage on the road near a flat...,Waste/Garbage
There is garbage dumped in the land.,Waste/Garbage
Trees cut and in our street for 1 month....,Waste/Garbage
Garbage out in the road..,Waste/Garbage
Garbage on road for 2weeks,Waste/Garbage
There are millions and millions of road side vendors in our country who hav put up their shops just in the main roads and public parking lots . This disturbs the traffic a lot ...,Waste/Garbage
Garbage not cleared for last 2 days no attention from corporation  it is happening frequently,Waste/Garbage
The was waste put outside the garbage.,Waste/Garbage
The waste was put outside the garbage.,Waste/Garbage
The waste was out side the garbage.,Waste/Garbage
The waste was outside the garbage.,Waste/Garbage
The water was pit outside the garbage.,Waste/Garbage
Garbage in the road ...though everyday the lorry comes it is not cleaned for a month,Waste/Garbage
Garbage is being dumped in a vacant land near my tennis class which is not being cleaned,Waste/Garbage
Near marina beach there is a broken street light which is not being repaired,Streetlights
When all the metro lorry comes they  are at least wasting 1 l of water..........   ..... They are not ready to transfer to a another container .... So we should stop this,Water
No one has took care of this garbage area.it is so untidy as well as it stinks a lot.from this many diseases can affect us.,Waste/Garbage
Mosquito poisoning is there in padi,Waste/Garbage
"Please save water
",Water
Do not put garbage on roads,Waste/Garbage
people must know the importance of clealiness and throwing the garbage and waste in the bins,Waste/Garbage
Water leaks every second in my apartment. This creates fungi and also wastes water,Water
Pothole not closed,Potholes
Don't throw garbage,Waste/Garbage
Mixed garbage,Waste/Garbage
Outside my house there is an empty space filled with sand. I noticed many alcohol and medicine bottles. I also saw that all the medicine bottles were same.,Waste/Garbage
There is a new construction going on. There  is gap between the building and wall.People throw garbage there. And the workers work on top of garbage.,Waste/Garbage
Garbage dump,Waste/Garbage
My area streets are logging with water during rainy days. Due to taar roads and cement packings the water is impenetrable into road.,Water
There is lot of garbage dumped near old tower block which attracts lots of mosquito,Waste/Garbage
Large pipes kept on roadside blocking traffic near signal.,Potholes
"Wires hanging on footpath, difficult to walk. Do have to walk on road with lot of traffic.",Streetlights
"19 garbage dumps in this area. Causes bad smell, mosquito, rat and stray dog breeding.",Waste/Garbage
People from other flats come and throw garbage in our flat....though been warned has not stopped,Waste/Garbage
Plastic cans thrown in front of a flat...... No one has taken reaction to this,Waste/Garbage
All kind of cement and those kind of waste thrown in the street,Waste/Garbage
House waste thrown outside... Though warned not to throw,Waste/Garbage
Trees cut and thrown in front of a school... No action taken..,Waste/Garbage
Garbage dump near Park.,Waste/Garbage
Before this.... Few metres away from the pic.. No parking is said... But still a bike is parked here,Traffic/Parking
BBMP have to clean this,Waste/Garbage
Roadside garbage,Waste/Garbage
In our area from last week there are no garbage collectors coming,Waste/Garbage
The garbage is dumped by us in all available areas. As the number of dustbins maintained by the corporation is very less,Waste/Garbage
Garbage is not being cleared and even people dump garbage here everyday,Waste/Garbage
The air is getting polluted more and more day by day.The pollutants in air is increasing due to smoke released from poorly maintained vehicles and factories.,Air
"Heyy
",Water
Star market uses plastic for the price board causing waste,Waste/Garbage
Steel particles as well as other garbage was thrown here and there.,Waste/Garbage
Ceramic thrown here and there,Waste/Garbage
Bad roads filled with puddles,Water
Garbage thrown here and there,Waste/Garbage
Banana peels thrown here and there,Waste/Garbage
Pan masala thrown here and tgere,Waste/Garbage
Big puddles created,Water
All forms of garbage dumped on my street,Waste/Garbage
The waste was put outside the garbage,Waste/Garbage
Winds waterlogged and bricks thrown here and there,Water
Puddles created,Water
Garbage thrown,Waste/Garbage
Weeds grown and garbage thrown,Waste/Garbage
Juice bottles thrown here and there,Waste/Garbage
Cups thrown here and there,Waste/Garbage
Dangerous wires,Streetlights
The drains are opened and littered,Potholes
Banana peels thrown,Waste/Garbage
Dangerous rocks,Waste/Garbage
There is garbage dumped in the road and the road is broken.,Waste/Garbage
Garbage pollution can make the soil unfit for growing plants,Waste/Garbage
The sewage is not treated and sent properly... Many mosquitoes breed in this water and many diseases are caused..,Potholes
The garbage is dumped on roads.. This causes land pollution.. The land cannot be used for any other purpose... Plastic bags also thrown near the garbage..,Waste/Garbage
Garbage on the road....,Waste/Garbage
"More than 2 days those garbage dumpings (branches,plastic covers,etc) were not yet cleared.",Waste/Garbage
Saving rainwater,Water
Careless behaviour,Potholes
Wasting of rainwater,Water
In my area ground water level has gone down and nowadays the water from the government lorries are being used for all purpose .This must be stopped before it reaches a worst state.,Water
Garbage pollution,Waste/Garbage
Garbage dump in private land on road side,Waste/Garbage
The car is parked in the road,Traffic/Parking
Broken glass pieces on the pavement which can poke pedestrians.,Waste/Garbage
Garbage thrown by people collected in front of an electric pole,Waste/Garbage
These are causing accidents and are on the main road,Potholes
The pipe here leaks every day due to the force at which the water runs from the starting until the end of the pipe. We have to stop the force at which the water flows at !!,Water
No vechiles are able to come inside it is very  difficult,Traffic/Parking
"In my area people dumped garbage near roadside. 
So, please take action to clean it.",Waste/Garbage
"In my  area people dumped garbage near shops. 
So, please take action to clean it.",Waste/Garbage
There are putting garbage in the land or water.it polluting the land.sometimes it will block the pipes.during rainy season it overflow and come on road,Waste/Garbage
"Everytime it keeps emitting smoke, in the morning and evening due to some small scale biscuit factory in the middle of local residence which causes problems to everyone.. It is also not cleaned",Air
"They are putting garbage in the land and water. It is polluting the water. It blocks the pipes.it overflow during rainy season.  So please clear it.
",Waste/Garbage
The tap was leaking in our house and keeps on leaking it wastes a lot of water which slowly contributes to the water crisis,Water
This is a empty land near my apparment. People living near this place throw garbage in this area and making this place dirty. Before few months this place was very beautiful. ,Waste/Garbage
Plastic test,Plastic
House waste dumped into the streets,Waste/Garbage
Uncleaned waste of plastic and garbage being eaten by cows .......what do u expect the cow to give milk or die as soon as possible ...this problem has already been repoted but no action taken,Waste/Garbage
Potholes causing accidents,Potholes
Test,Waste/Garbage
There is a open site and people throwing the garbage and waste and the do burn the garbage waste please come BBMP check and clean the garbage area,Air
The problem is that they are dumping the garbage waste on the open road . This disturbs the people who are driving in the road.,Waste/Garbage
"The problem is that people dump the garbage near the garbage bin instead of the garbage bin, this brings uneasiness for the people who are walking on the road.",Waste/Garbage
"In my area people dumped garbage in roadside. 
So, please take action to clean it.",Waste/Garbage
The waste was put outside the garbage.,Waste/Garbage
No proper footpath,Water
abcdefghiksdnfglfa,Waste/Garbage
The garbage collectors do not clear the garbage and simply dump it and the dogs pull out the garbage which is really unhygenic,Waste/Garbage
Cable s and wires are hanging,Streetlights
Here at Bangalore every corner has garbage thrown and this creates a huge problem because of the smell and the diseases caused by these dumps of garbage,Waste/Garbage
There are many potholes in Bangalore. There potholes causes a lot of problem to the people using the road. The potholes on the side walk forces people to use the road where the vehicles move,Potholes
A hole on the road near by the school,Potholes
Dumping of garbage,Waste/Garbage
Waste and and trash,Waste/Garbage
Garbage dump,Waste/Garbage
No cleanliness ,Waste/Garbage
Just for noting ,Waste/Garbage
No cleanliness garbage dumped at d road corner,Waste/Garbage
Garbage issue ,Waste/Garbage
There is a garbage and it stinks,Waste/Garbage
This is in an empty plot,Waste/Garbage
Garbage dumping,Waste/Garbage
1200,Waste/Garbage
Negligence ,Waste/Garbage
Waste dumping on the road,Waste/Garbage
This is  an empty plot,Waste/Garbage
The floors pretty cool,Waste/Garbage
Here I found a plastic problem,Waste/Garbage
"Garbage disposal
",Waste/Garbage
"Plastic bags are many
",Waste/Garbage
5sq ft,Waste/Garbage
This is a empty plot,Waste/Garbage
Garbage problem ,Waste/Garbage
Dummy ,Waste/Garbage
Create awareness among the peoples,Waste/Garbage
These a empty plot,Waste/Garbage
Gjfjj,Waste/Garbage
This is a empty plot ,Waste/Garbage
"This is an empty plot
",Waste/Garbage
Garbage dumping (trail) ,Waste/Garbage
This is a empty plot ,Waste/Garbage
Garbage,Waste/Garbage
Garbage ,Waste/Garbage
Garbage ,Waste/Garbage
waste management is not proper,Waste/Garbage
Waste are dumped near the tree,Waste/Garbage
Leaf glitters,Waste/Garbage
Plastic covers has been throwed ,Waste/Garbage
3 feet,Waste/Garbage
"



",Waste/Garbage
3/3 feet ,Waste/Garbage
Dry waste,Waste/Garbage
"Garbage dumped in a free site or space
",Waste/Garbage
Garbage problem,Waste/Garbage
Dry waste,Waste/Garbage
All kinds of construction waste are dumped here ,Waste/Garbage
Garbage dumping and stinky,Waste/Garbage
Dump from hotel,Waste/Garbage
Collecting the garbage and the roads are not clean ,Waste/Garbage
Dumping dry and wet waste at same place,Waste/Garbage
Garbage dumping point,Waste/Garbage
Wastes,Waste/Garbage
Garbage dumped in the road corners ,Waste/Garbage
Dumping garbage,Waste/Garbage
So much of  plastics are dumped,Waste/Garbage
Waste dumping ,Waste/Garbage
Garbage dump,Waste/Garbage
Plastics  papers. Cups,Waste/Garbage
"Stinks a lot...n many people have a problem from this
",Waste/Garbage
Urine passed in foot paths it's very stinky ????,Waste/Garbage
10 feet,Waste/Garbage
no proper management of waste,Waste/Garbage
"Garbage on road side
",Waste/Garbage
Wastes,Waste/Garbage
Debris,Waste/Garbage
Pot holes problem,Potholes
4×5 foot steps,Waste/Garbage
800sqft ,Waste/Garbage
Waste of tharmocoles and wires are thrown road side ,Waste/Garbage
Waste has nt been collected from bbmp ,Waste/Garbage
Hidden area,Waste/Garbage
There is water logging near the trees,Water
Waste has not been collected ,Waste/Garbage
Near 8th main road ,Waste/Garbage
 8th main near road ,Waste/Garbage
Dumped garbage,Waste/Garbage
Near 8th main road,Waste/Garbage
Empty plot,Waste/Garbage
"It's a railway station,it's affect on public many auto driver start their work from this place nd also street vendors work here this may also affect their health.",Waste/Garbage
20-30,Waste/Garbage
Wire is hanging down unattended,Streetlights
Plastic covers ,Waste/Garbage
Waste disposal at street light,Waste/Garbage
On no parking board they parked a lots of vehicles,Traffic/Parking
Wastes created by slums in ground,Waste/Garbage
Waste of leaves and stems ,Waste/Garbage
Waste things near the transformer and street  lights,Waste/Garbage
Short age of dust bin on streets,Waste/Garbage
2/2feet ,Waste/Garbage
Garbage dump,Waste/Garbage
Garbage dumping,Waste/Garbage
Slum area full of plastic and clothes on there leaving areas ,Waste/Garbage
Here they are dumping the waste near the trees  in this road under all the trees they dumped the waste ,Waste/Garbage
8th main ,Waste/Garbage
"Near 8th main , ",Waste/Garbage
8th main near houses,Waste/Garbage
Construction waste,Waste/Garbage
The cable wires are dangling and they are not properly fixed,Streetlights
10 × 15 foots,Waste/Garbage
Clearance of cut branches,Waste/Garbage
Slum area full of garbage without clean leaving area ,Waste/Garbage
Slum area leaving area is full of garbage,Waste/Garbage
Road side bbmp waste transfer point ,Waste/Garbage
Improper disposal of waste and lack of dist bin is the Main reason for this,Waste/Garbage
Drainage over flowing,Sewage
Hanging of wires which can be dangerous,Streetlights
Wrong parking in front of gate,Traffic/Parking
Report the problem to ward corporator and convert tht place into garden,Waste/Garbage
"Nellore test
",Waste/Garbage
Burning of garbage,Air
"In my area people dumped garbage near a bus stand. 
So, please take action to clean it.",Waste/Garbage
"In my area people dumped garbage near vehicles. 
So,please take action to clean it.",Waste/Garbage
Nellore test ytt,Waste/Garbage
"In my area people dumped garbage near houses and dogs eat it. So, please take action to clean it.",Waste/Garbage
Garbage issue,Waste/Garbage
People throw garbage and then burn it.,Waste/Garbage
Garbage and bricks thrown here and there,Waste/Garbage
They did not take this bag of garbage while taking the garbage,Waste/Garbage
Garbage dumped and burnt,Waste/Garbage
Garbage dumped and drains are not covered,Potholes
People throw garbage bags and burn them to clear the area,Waste/Garbage
In the above picture you can see the dry waste & wet waste has been mixed . The government has made the rule waste segregation is compulsory but still people are not segrigating . ,Waste/Garbage
The wire is dangling on the already dirty footpath,Streetlights
Always dangling wires,Streetlights
The wires which dangle,Streetlights
Machinery parts thrown,Waste/Garbage
Garbage thrown along with cut trees,Waste/Garbage
Drains not covered,Potholes
Furniture dumped here and there as Easter,Waste/Garbage
Garbage dumped harming trees,Waste/Garbage
Garbage and pan masala thrown,Waste/Garbage
Garbage and all types of waste thrown on the only footpath,Waste/Garbage
The dustbin on the main road not cleared,Waste/Garbage
Garbage dump,Waste/Garbage
Garbage ,Waste/Garbage
Garbage dumped and weeds grown,Waste/Garbage
Garbage dumped everywhere,Waste/Garbage
Trees not grown and parthenium is growling,Waste/Garbage
This problem is regarding the toilets in the train.The toilets are totally not maintanced by the govt.Many people refuse to go to restroom becoz of this.,Waste/Garbage
"My area water not coming
And pump also not working
????????????????????????people not
Coming to the pump",Water
Potholes in the road,Water
"In mumbai there is a big factory.in everyday there are releasing a large amount of pollution.it contains nitrogen di oxide,sulphur do oxide,carbon do oxide.mumbai is recorded the polluted country .",Air
People are putting garbage in  an open area very stinky not able to cross the road,Waste/Garbage
People just dump the corn they eat near the corn shop,Waste/Garbage
We are in balaji singh street  for parking car the hole is in disterbuns,Potholes
Pothole regarded to be fixed,Potholes
Huge pothole left open,Potholes
Dumping off glass on free land on the roadside,Waste/Garbage
"Dumping of items on a piece of land ,  roadside",Waste/Garbage
A water clog since the last rainfall 3 days ago,Water
Large pothole left open,Potholes
Pothole left open in the centre of the road,Potholes
Pothole in the road,Potholes
A manhole left open,Potholes
A long pothole left open in the centre of the road,Potholes
Broken glass on road,Waste/Garbage
Yy,Waste/Garbage
"Children come here to play
",Waste/Garbage
"Children come to play here
",Waste/Garbage
"In my area there are branches of trees which fell on the road as garbage. So, please take action to clean it.",Waste/Garbage
Animal eat it  .It blocks drainages,Waste/Garbage
Looks sooooooooo dirty,Waste/Garbage
"It’s not someone else’s responsibility to clean our litter.Its our responsibility to clean it...........
",Waste/Garbage
Garbage dump,Waste/Garbage
The garbage is overflowing in our area,Waste/Garbage
Not proper maintenance in my areas Park,Waste/Garbage
The road from hope farm to channasandra is a busy one and very important to many. The road slopes downward so vehicles accelerate on their own. However the streetlights don't work  always.,Streetlights
The busy road from hope farm to channasandra has potholes and yet streetlights are also not working,Streetlights
"This place is a big problem now. It needs to cleared  
very soon. It is not seen much but makes a very if issue.",Waste/Garbage
"People stay here
",Waste/Garbage
Garbage dumped near T. Nagar Bus Stand.,Waste/Garbage
